MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
DNA-binding protein SATB2 measurement,DNA-binding protein,D004268
HBQ1/HMBS protein level ratio in blood,HBQ1/HMBS protein,
"blood glucose amount, blood insulin amount, glucose tolerance test",blood glucose,D001786
level of Kv channel-interacting protein 4 in blood,level,D000082162
NKG2-E type II integral membrane protein measurement,NKG2-E type II integral membrane protein,
torsin-1A-interacting protein 1 measurement,measurement,D054791
CRTAM/VCAM1 protein level ratio in blood,CRTAM/VCAM1 protein,
FKBP1B/SCRN1 protein level ratio in blood,FKBP1B/SCRN1,
CLMP/TNFRSF19 protein level ratio in blood,CLMP/TNFRSF19 protein,
GDH/6PGL endoplasmic bifunctional protein measurement,GDH/6PGL endoplasmic bifunctional protein measurement,
surfeit locus protein 1 measurement,surfeit locus protein 1,
BPIFB1/GLRX protein level ratio in blood,BPIFB1/GLRX protein,
MB/NOS1 protein level ratio in blood,MB/NOS1 protein,
FKBP1B/RABGAP1L protein level ratio in blood,FKBP1B/RABGAP1L,
RSPO1/RSPO3 protein level ratio in blood,RSPO1/RSPO3 protein,
Fc receptor-like protein 2 measurement,measurement,D054791
ACVRL1/TNFRSF9 protein level ratio in blood,ACVRL1/TNFRSF9 protein,
fatty acid amount,fatty acid,D000090943
IRAK1/SPRY2 protein level ratio in blood,IRAK1/SPRY2 protein,
total iron binding capacity,iron binding,D033862
"diabetic nephropathy, type 2 diabetes mellitus",diabetic nephropathy,
DAB2/FKBP1B protein level ratio in blood,DAB2/FKBP1B,
protein SEC13 homolog measurement,protein,D048948
regulator of G-protein signaling 8 measurement,regulator,D051017
GOPC/PLXNA4 protein level ratio in blood,GOPC/PLXNA4 protein,
IRAK4/NT5C3A protein level ratio in blood,IRAK4/NT5C3A protein,
DNA repair protein RAD51 homolog 1 amount,DNA repair protein,
BIN2/MESD protein level ratio in blood,BIN2/MESD protein,
leucine-rich repeat neuronal protein 1 measurement,measurement,D054791
CD300C/CLEC14A protein level ratio in blood,CD300C/CLEC14A protein,
quinone oxidoreductase-like protein 1 measurement,quinone oxidoreductase-like protein 1,
level of T-cell-specific surface glycoprotein CD28 in blood,level,D000082162
cellular retinoic acid-binding protein 2 measurement,cellular retinoic acid-binding protein 2 measurement,
uncharacterized protein C3orf18 measurement,measurement,D054791
APP/PDGFA protein level ratio in blood,APP/PDGFA protein,
BIN2/TBC1D23 protein level ratio in blood,BIN2/TBC1D23 protein,
"MICB/TEK protein level ratio in blood, MICA/TEK protein level ratio in blood",MICB/TEK protein,
tumor protein p53-inducible protein 11 measurement,tumor protein p53-inducible,
FKBP1B/VASH1 protein level ratio in blood,FKBP1B/VASH1 protein,
CEP43/MPHOSPH8 protein level ratio in blood,CEP43/MPHOSPH8 protein,
cholesteryl esters to total lipids in small LDL percentage ,cholesteryl esters,
BIN2/EREG protein level ratio in blood,BIN2/EREG protein,
CEBPB/PXN protein level ratio in blood,CEBPB/PXN protein,
EIF4EBP1/GLRX protein level ratio in blood,EIF4EBP1/GLRX protein,
level of T-cell leukemia/lymphoma protein 1A in blood,level,D000082162
BIN2/F11R protein level ratio in blood,BIN2/F11R protein,
PH and SEC7 domain-containing protein 1 measurement,PH,D050782
COX5B/METAP1D protein level ratio in blood,COX5B/METAP1D protein,
BIN2/PLA2G4A protein level ratio in blood,BIN2/PLA2G4A protein,
DPP6/SEZ6L protein level ratio in blood,DPP6/SEZ6L protein,
CD22/SEMA7A protein level ratio in blood,CD22/SEMA7A protein,
scavenger receptor cysteine-rich type 1 protein m130 measurement,protein m130 measurement,
APP/PDGFB protein level ratio in blood,APP/PDGFB protein,
CEP43/FKBP1B protein level ratio in blood,CEP43/FKBP1B protein,
CASP3/IRAK4 protein level ratio in blood,CASP3/IRAK4 protein,
FCGR2A/FCGR2B protein level ratio in blood,FCGR2A/FCGR2B protein,
level of BRCA1-associated protein in blood,level,D000082162
"migraine disorder, diastolic blood pressure",migraine disorder,D008881
DAPP1/SDC4 protein level ratio in blood,protein level,
EFNA4/HNMT protein level ratio in blood,blood,D001769
MLN/TNFRSF12A protein level ratio in blood,MLN/TNFRSF12A protein,
F9/PROC protein level ratio in blood,F9/PROC protein,
GP6/LGALS8 protein level ratio in blood,GP6/LGALS8 protein,
level of tyrosine-protein phosphatase non-receptor type substrate 1 in blood serum,level,D000082162
adipocyte plasma membrane-associated protein measurement,adipocyte,D017667
CHGB/PTPRN2 protein level ratio in blood,CHGB/PTPRN2 protein,
CLPS/PRSS2 protein level ratio in blood,CLPS/PRSS2 protein,
BAG6/BMP6 protein level ratio in blood,BAG6/BMP6 protein,
FABP1/LGALS4 protein level ratio in blood,FABP1/LGALS4 protein,
"blood glucose amount, body mass index",blood glucose,D001786
leucine-rich repeat transmembrane protein FLRT3 measurement,FLRT3,
FABP1/HNMT protein level ratio in blood,FABP1/HNMT protein,
MEGF9/OXT protein level ratio in blood,MEGF9/OXT protein,
EGLN1/RASSF2 protein level ratio in blood,EGLN1/RASSF2 protein,
CKAP4/PGF protein level ratio in blood,CKAP4/PGF protein,
"obsessive-compulsive symptom measurement, type 2 diabetes mellitus",obsessive-compulsive,D009771
IL18BP/ROR1 protein level ratio in blood,IL18BP/ROR1 protein,
level of Mth938 domain-containing protein in blood,level,D000082162
DAPP1/NCK2 protein level ratio in blood,DAPP1/NCK2 protein,
CANT1/GSTA1 protein level ratio in blood,CANT1/GSTA1 protein,
AGXT/GSTA1 protein level ratio in blood,AGXT/GSTA1 protein,
RAC-beta serine/threonine-protein kinase measurement,RAC-beta,
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1) measurement",branched-chain,D000597
AXIN1/BACH1 protein level ratio in blood,AXIN1/BACH1 protein,
LAT2/YES1 protein level ratio in blood,LAT2/YES1 protein,
CD160/IL15 protein level ratio in blood,CD160/IL15 protein,
GP6/MIF protein level ratio in blood,GP6/MIF protein,
DLL1/TGFBR2 protein level ratio in blood,DLL1/TGFBR2 protein,
level of Rho GTPase-activating protein 45 in blood,level,D000082162
DPP7/VSIR protein level ratio in blood,DPP7/VSIR,
level of protein CASC3 in blood,level,D000082162
CD160/CXCL16 protein level ratio in blood,CD160/CXCL16 protein,
AXIN1/CDKN1A protein level ratio in blood,AXIN1/CDKN1A protein,
IL15/NCR1 protein level ratio in blood,IL15/NCR1 protein,
GP1BA/SIAE protein level ratio in blood,GP1BA/SIAE protein,
"prostate carcinoma, type 2 diabetes mellitus",prostate carcinoma,
tyrosine-protein kinase ABL1 measurement,tyrosine-protein kinase,D000081247
interleukin-1 receptor antagonist protein measurement,interleukin-1 receptor antagonist protein,D053590
insulin-like growth factor 1 receptor amount,insulin-like growth factor 1 receptor,
BANK1/FOXO1 protein level ratio in blood,BANK1/FOXO1 protein,
"body fat percentage, high density lipoprotein cholesterol measurement",body fat,D050218
FOLR1/MSLN protein level ratio in blood,FOLR1/MSLN protein,
DKK1/VEGFA protein level ratio in blood,DKK1/VEGFA protein,
level of tyrosine-protein kinase Mer in blood serum,level,D000082162
CALCOCO1/TJAP1 protein level ratio in blood,CALCOCO1/TJAP1 protein,
CLEC1B/SNAP29 protein level ratio in blood,CLEC1B/SNAP29 protein,
ALCAM/CDH5 protein level ratio in blood,ALCAM/CDH5 protein,
lactase-phlorizin hydrolase measurement,lactase-phlorizin hydrolase measurement,
tyrosine-protein phosphatase non-receptor type 4 measurement,tyrosine-protein phosphatase non-receptor type 4 measurement,
DCTN1/TRIAP1 protein level ratio in blood,DCTN1/TRIAP1 protein,
CD84/GP6 protein level ratio in blood,CD84/GP6 protein,
CD109/CNTN4 protein level ratio in blood,CD109/CNTN4 protein,
EFEMP1/IL18BP protein level ratio in blood,EFEMP1/IL18BP protein,
GSTA1/SULT2A1 protein level ratio in blood,GSTA1/SULT2A1 protein,
level of baculoviral IAP repeat-containing protein 2 in blood serum,level,D000082162
DCTN1/VPS53 protein level ratio in blood,DCTN1/VPS53 protein,
glucose metabolism trait,glucose metabolism,D044882
EPHA1/OXT protein level ratio in blood,EPHA1/OXT protein,
CHGB/MOG protein level ratio in blood,CHGB/MOG protein,
S100A4/SNAP29 protein level ratio in blood,S100A4/SNAP29 protein,
PIK3AP1/PSMG3 protein level ratio in blood,PIK3AP1/PSMG3 protein,
BCL-2-like protein 1 measurement,BCL-2-like protein 1,
"response to diuretic, low density lipoprotein cholesterol measurement",response,D061745
EFEMP1/TGFBR3 protein level ratio in blood,EFEMP1/TGFBR3 protein,
LGMN/SPINT2 protein level ratio in blood,LGMN/SPINT2 protein level,
lactose measurement,lactose measurement,
DCTN1/ERBIN protein level ratio in blood,blood,D001769
BIN2/TJAP1 protein level ratio in blood,BIN2/TJAP1 protein,
CLEC1B/VSIR protein level ratio in blood,CLEC1B/VSIR protein,
DCTN1/IKBKG protein level ratio in blood,DCTN1/IKBKG protein,
BCL2L11/VASH1 protein level ratio in blood,BCL2L11/VASH1 protein,
DLL1/EFEMP1 protein level ratio in blood,DLL1/EFEMP1 protein,
level of MAM domain-containing glycosylphosphatidylinositol anchor protein 1 in blood,level,D000082162
DCTN1/FXN protein level ratio in blood,DCTN1/FXN protein,
level of retinol-binding protein 5 in blood serum,level,D000082162
level of putative protein-lysine deacylase ABHD14B in blood,level,D000082162
level of ankyrin repeat and MYND domain-containing protein 2 in blood,level,D000082162
level of adhesion G protein-coupled receptor B3 in blood serum,level,D000082162
soluble calcium-activated nucleotidase 1 measurement,soluble,D000071756
"hepatocellular carcinoma, non-alcoholic steatohepatitis",hepatocellular carcinoma,
"Headache, type 2 diabetes mellitus",Headache,D006261
"chronic obstructive pulmonary disease, C-reactive protein measurement",chronic obstructive pulmonary disease,D000080445
CA5A/GSTA1 protein level ratio in blood,CA5A/GSTA1 protein,
level of alanyl-tRNA editing protein Aarsd1 in blood,level,D000082162
level of sushi domain-containing protein 4 in blood,level,D000082162
CRKL/EGF protein level ratio in blood,CRKL/EGF protein,
METAP1D/VASH1 protein level ratio in blood,METAP1D/VASH1 protein,
iron biomarker measurement,iron,D007501
SNAP29/TJAP1 protein level ratio in blood,SNAP29/TJAP1 protein,
level of hypoxia up-regulated protein 1 in blood,level,D000082162
IL6ST/MARCO protein level ratio in blood,IL6ST/MARCO protein,
CNPY4/KIFBP protein level ratio in blood,CNPY4/KIFBP protein,
lysosomal protective protein measurement,lysosomal,D051907
DAB2/GRAP2 protein level ratio in blood,DAB2/GRAP2 protein,
level of B-cell linker protein in blood,level,D000082162
IPCEF1/SERPINE1 protein level ratio in blood,blood,D001769
level of adhesion G protein-coupled receptor F5 in blood serum,level,D000082162
MSRA/TJAP1 protein level ratio in blood,MSRA/TJAP1 protein,
level of ADP-ribosylation factor-like protein 2-binding protein in blood,level,D000082162
"low density lipoprotein cholesterol measurement, body fat percentage",low density lipoprotein cholesterol measurement,
bone morphogenetic protein 6 measurement,bone morphogenetic protein,D055395
morbid obesity,morbid obesity,
IPCEF1/SPARC protein level ratio in blood,IPCEF1/SPARC protein,
AXIN1/HEXIM1 protein level ratio in blood,AXIN1/HEXIM1 protein,
level of protein shisa-5 in blood,level,D000082162
INPPL1/SH2B3 protein level ratio in blood,INPPL1/SH2B3 protein,
level of centrosomal protein of 170 kDa in blood,level,D000082162
DCTN1/SCAMP3 protein level ratio in blood,DCTN1/SCAMP3 protein,
calcyclin-binding protein measurement,calcyclin-binding protein measurement,
DSC2/EFEMP1 protein level ratio in blood,DSC2/EFEMP1 protein,
CHGB/RTBDN protein level ratio in blood,CHGB/RTBDN protein,
CHGB/NPDC1 protein level ratio in blood,CHGB/NPDC1 protein,
DPP7/MCFD2 protein level ratio in blood,DPP7/MCFD2 protein,
"response to low calorie diet, protein measurement",response,D061745
level of activator of 90 kDa heat shock protein ATPase homolog 1 in blood serum,level,D000082162
CEP43/WASF1 protein level ratio in blood,CEP43/WASF1 protein,
phospholipids in HDL measurement ,phospholipids,D010743
LGALS8/RWDD1 protein level ratio in blood,LGALS8/RWDD1 protein,
BCL2L11/ITGA6 protein level ratio in blood,BCL2L11/ITGA6 protein,
interferon-induced protein with tetratricopeptide repeats 3 measurement,interferon-induced protein,
"nicotine use, generational effect measurement, illegal drug consumption, non-substance related disinhibited behaviour, alcohol drinking, alcohol dependence",nicotine,D009538
level of acrosin-binding protein in blood,level,D000082162
CRKL/GRAP2 protein level ratio in blood,CRKL/GRAP2 protein,
LGALS8/SERPINB6 protein level ratio in blood,LGALS8/SERPINB6 protein,
GP6/MPIG6B protein level ratio in blood,GP6/MPIG6B protein,
MPHOSPH8/WASF1 protein level ratio in blood,MPHOSPH8/WASF1 protein,
lactoperoxidase measurement,lactoperoxidase measurement,
CDHR2/OXT protein level ratio in blood,CDHR2/OXT protein,
CTSZ/HSPG2 protein level ratio in blood,CTSZ/HSPG2 protein,
CHMP1A/DCTN1 protein level ratio in blood,CHMP1A/DCTN1 protein,
"omega-6:omega-3 polyunsaturated fatty acid ratio, diet measurement",omega-6:omega-3,
DCTN1/RWDD1 protein level ratio in blood,DCTN1/RWDD1 protein,
"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase measurement","beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase measurement",
AARSD1/PSMD9 protein level ratio in blood,AARSD1/PSMD9 protein,
CCT5/DCTN1 protein level ratio in blood,CCT5/DCTN1 protein,
level of Src kinase-associated phosphoprotein 1 in blood,level,D000082162
GSTA1/PBLD protein level ratio in blood,GSTA1/PBLD protein,
level of voltage-dependent L-type calcium channel subunit beta-3 in blood,level,D000082162
BCR/DCTN1 protein level ratio in blood,BCR/DCTN1 protein,
level of heterogeneous nuclear ribonucleoprotein M in blood serum,level,D000082162
level of calcium-binding and coiled-coil domain-containing protein 1 in blood,level,D000082162
AARSD1/UBAC1 protein level ratio in blood,AARSD1/UBAC1 protein,
FABP1/RBP2 protein level ratio in blood,protein level,
GP6/SCARF1 protein level ratio in blood,GP6/SCARF1 protein,
DBNL/PDGFB protein level ratio in blood,DBNL/PDGFB protein,
GYS1/WASF1 protein level ratio in blood,GYS1/WASF1 protein,
AARSD1/PIK3AP1 protein level ratio in blood,AARSD1/PIK3AP1 protein,
AARSD1/PPME1 protein level ratio in blood,AARSD1/PPME1 protein,
level of adhesion G protein-coupled receptor E1 in blood,level,D000082162
CEP20/MED18 protein level ratio in blood,CEP20/MED18 protein,
ITGB1BP2/WASF1 protein level ratio in blood,ITGB1BP2/WASF1 protein,
"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 measurement",WAP,D000081102
level of coiled-coil domain-containing protein 50 in blood,level,D000082162
GP6/MESD protein level ratio in blood,GP6/MESD protein,
level of neurocan core protein in blood,level,D000082162
level of endothelial protein C receptor in blood,level,D000082162
BCR/TXLNA protein level ratio in blood,BCR/TXLNA protein,
IL15/KLRD1 protein level ratio in blood,IL15/KLRD1 protein,
CXCL16/NOTCH1 protein level ratio in blood,CXCL16/NOTCH1 protein,
level of T-cell surface glycoprotein CD8 alpha chain in blood serum,level,D000082162
level of alpha-1B-glycoprotein in blood serum,level,D000082162
CD46/NID1 protein level ratio in blood,CD46/NID1,
selenium amount,selenium,D012643
SAMD9L/SRPK2 protein level ratio in blood,SAMD9L/SRPK2 protein,
level of Ras association domain-containing protein 2 in blood,level,D000082162
"migraine disorder, blood insulin amount",migraine disorder,D008881
"type 2 diabetes mellitus, coronary artery disease",type 2 diabetes mellitus,
level of amyloid beta precursor like protein 1 in blood,level,D000082162
LAMA4/NID1 protein level ratio in blood,LAMA4/NID1 protein,
"omega-3 polyunsaturated fatty acid measurement, diet measurement",omega-3,D015525
FLT1/VEGFA protein level ratio in blood,FLT1/VEGFA protein,
level of BolA-like protein 1 in blood serum,level,D000082162
level of protein BRICK1 in blood,level,D000082162
CHGB/SCG2 protein level ratio in blood,CHGB/SCG2 protein,
total lipids in lipoprotein particles measurement ,lipids,D008055
CLPS/PLA2G1B protein level ratio in blood,CLPS/PLA2G1B protein,
BAX/MAX protein level ratio in blood,BAX/MAX protein,
"disposition index measurement, glucose homeostasis trait",glucose homeostasis trait,
MPI/SIRT2 protein level ratio in blood,MPI/SIRT2 protein,
MED18/SH2B3 protein level ratio in blood,MED18/SH2B3 protein level,
level of coiled-coil domain-containing protein 134 in blood,level,D000082162
level of calmodulin-regulated spectrin-associated protein 1 in blood,level,D000082162
BANK1/BCR protein level ratio in blood,BANK1/BCR protein,
"triglyceride measurement, alcohol drinking",triglyceride measurement,
